"Lag.Period","contrast","Variable","Level","N","Risk.in.Intervention.Arm","Risk.in.Control.Arm","Risk.Ratio..95..CI.","Risk.Difference..95..CI."
"2 Week Lag","Sanitation","Heavy Rain","Heavy Rain","1,533","0.04 (0.02, 0.06)","0.06 (0.04, 0.08)","0.66 (0.35, 1.25)","-0.02 (-0.05, 0.01)"
"2 Week Lag","Sanitation","Heavy Rain","No Heavy Rain","3,663","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.56 (0.38, 0.83)","-0.02 (-0.04, -0.01)"
"2 Week Lag","Handwashing","Rainy Season","Rainy season","2,655","0.04 (0.02, 0.05)","0.08 (0.06, 0.09)","0.46 (0.30, 0.70)","-0.04 (-0.06, -0.02)"
"2 Week Lag","Handwashing","Rainy Season","Not rainy season","2,575","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.90 (0.61, 1.34)","0.00 (-0.02, 0.01)"
"2 Week Lag","Handwashing","Heavy Rain","Heavy Rain","2,234","0.04 (0.02, 0.05)","0.07 (0.06, 0.09)","0.51 (0.17, 1.51)","-0.04 (-0.08, 0.01)"
"2 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","2,996","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.76 (0.51, 1.14)","-0.01 (-0.03, 0.00)"
"2 Week Lag","Handwashing","Total Weekly Precipitation","Above Median","3,006","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.53 (0.36, 0.77)","-0.03 (-0.05, -0.02)"
"2 Week Lag","Handwashing","Total Weekly Precipitation","Below Median","2,224","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.82 (0.51, 1.33)","-0.01 (-0.02, 0.01)"
"2 Week Lag","Handwashing","Heavy Rain","Heavy Rain","1,542","0.04 (0.02, 0.06)","0.06 (0.04, 0.08)","0.57 (0.30, 1.08)","-0.03 (-0.06, 0.01)"
"2 Week Lag","Handwashing","Heavy Rain","No Heavy Rain","3,688","0.03 (0.02, 0.04)","0.03 (0.02, 0.04)","0.60 (0.43, 0.84)","-0.02 (-0.04, -0.01)"
"3 Week Lag","Pooled Intervention","Rainy Season","Rainy season","6,350","0.04 (0.03, 0.04)","0.08 (0.06, 0.09)","0.50 (0.40, 0.62)","-0.04 (-0.05, -0.02)"
"3 Week Lag","Pooled Intervention","Rainy Season","Not rainy season","6,090","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","1.06 (0.75, 1.52)","0.00 (-0.01, 0.02)"
"3 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","5,523","0.04 (0.03, 0.05)","0.07 (0.06, 0.09)","0.54 (0.40, 0.74)","-0.03 (-0.05, -0.01)"
"3 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","6,917","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.86 (0.59, 1.24)","-0.01 (-0.02, 0.01)"
"3 Week Lag","Pooled Intervention","Total Weekly Precipitation","Above Median","7,812","0.04 (0.03, 0.04)","0.07 (0.05, 0.08)","0.58 (0.30, 1.12)","-0.03 (-0.07, 0.02)"
"3 Week Lag","Pooled Intervention","Total Weekly Precipitation","Below Median","4,628","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.98 (0.65, 1.50)","0.00 (-0.02, 0.02)"
"3 Week Lag","Pooled Intervention","Heavy Rain","Heavy Rain","3,186","0.04 (0.03, 0.05)","0.07 (0.05, 0.09)","0.60 (0.32, 1.12)","-0.03 (-0.06, 0.01)"
"3 Week Lag","Pooled Intervention","Heavy Rain","No Heavy Rain","9,254","0.04 (0.03, 0.04)","0.04 (0.03, 0.04)","0.72 (0.56, 0.93)","-0.01 (-0.03, 0.00)"
"3 Week Lag","Combined WSH","Rainy Season","Rainy season","3,675","0.03 (0.03, 0.04)","0.08 (0.06, 0.09)","0.46 (0.35, 0.60)","-0.04 (-0.06, -0.03)"
"3 Week Lag","Combined WSH","Rainy Season","Not rainy season","3,481","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.04 (0.70, 1.55)","0.00 (-0.01, 0.02)"
"3 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","3,189","0.03 (0.02, 0.04)","0.07 (0.06, 0.09)","0.47 (0.34, 0.65)","-0.04 (-0.06, -0.02)"
"3 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","3,967","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.87 (0.55, 1.36)","-0.01 (-0.02, 0.01)"
"3 Week Lag","Combined WSH","Total Weekly Precipitation","Above Median","4,532","0.04 (0.03, 0.04)","0.07 (0.05, 0.08)","0.53 (0.41, 0.67)","-0.03 (-0.05, -0.02)"
"3 Week Lag","Combined WSH","Total Weekly Precipitation","Below Median","2,624","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","1.02 (0.54, 1.93)","0.00 (-0.02, 0.03)"
"3 Week Lag","Combined WSH","Heavy Rain","Heavy Rain","1,858","0.03 (0.02, 0.04)","0.07 (0.05, 0.09)","0.52 (0.28, 0.96)","-0.03 (-0.07, 0.00)"
"3 Week Lag","Combined WSH","Heavy Rain","No Heavy Rain","5,298","0.04 (0.03, 0.05)","0.04 (0.03, 0.05)","0.70 (0.51, 0.96)","-0.02 (-0.03, 0.00)"
"3 Week Lag","Water","Rainy Season","Rainy season","2,687","0.05 (0.04, 0.07)","0.08 (0.06, 0.09)","0.70 (0.51, 0.98)","-0.02 (-0.04, 0.00)"
"3 Week Lag","Water","Rainy Season","Not rainy season","2,569","0.05 (0.03, 0.06)","0.05 (0.03, 0.06)","1.29 (0.50, 3.38)","0.01 (-0.03, 0.05)"
"3 Week Lag","Water","Heavy Rain","Heavy Rain","2,360","0.05 (0.04, 0.07)","0.07 (0.06, 0.09)","0.77 (0.51, 1.17)","-0.02 (-0.04, 0.01)"
"3 Week Lag","Water","Heavy Rain","No Heavy Rain","2,896","0.05 (0.04, 0.06)","0.05 (0.04, 0.06)","1.11 (0.67, 1.83)","0.00 (-0.02, 0.03)"
"3 Week Lag","Water","Total Weekly Precipitation","Above Median","3,323","0.05 (0.04, 0.07)","0.07 (0.05, 0.08)","0.82 (0.60, 1.12)","-0.01 (-0.03, 0.01)"
